Subject Number,Gender,"Acromial Height, Sitting (mm)",Ankle Circumference (mm),Spine-to-Shoulder (mm),Spine-to-Elbow (mm),Arm Length (Spine to Wrist) (mm),Arm Length (Shoulder to Wrist) (mm),Arm Length (Shoulder to Elbow) (mm),Armscye Circumference (Scye Circ Over Acromion) (mm),Bizygomatic Breadth (mm),Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Buttock-Knee Length (mm),Chest Girth at Scye (Chest Circumference at Scye)(mm),Crotch Height (mm),"Elbow Height, Sitting (mm)","Eye Height, Sitting (mm)",Face Length (mm),Foot Length (mm),Hand Circumference (mm),Hand Length (mm),Head Breadth (mm),Head Circumference (mm),Head Length (mm),"Hip Breadth, Sitting (mm)","Hip Circumference, Maximum (mm)",Hip Circ Max Height (mm),Knee Height (mm),Neck Base Circumference (mm),Shoulder Breadth (mm),Sitting Height (mm),Stature (mm),Subscapular Skinfold (mm),Thigh Circumference (mm),Thigh Circumference Max Sitting (mm),Thumb Tip Reach (mm),TTR 1 (mm),TTR 2 (mm),TTR 3 (mm),Triceps Skinfold (mm),Total Crotch Length (Crotch Length) (mm),Vertical Trunk Circumference (mm),"Waist Circumference, Pref (mm)",Waist Front Length (mm),"Waist Height, Preferred (mm)",Weight (kg),frontal_image,lateral_image,frontal_mask,lateral_mask
1675,Female,541.0,212.0,194.0,478.0,744.0,550.0,284.0,349.0,131.0,916.0,751.0,556.0,900.0,694.0,220.0,749.0,113.0,221.0,175.0,169.0,136.0,549.0,188.0,385.0,1011.0,730.0,471.0,384.0,418.0,852.0,1570.0,16.5,589.0,587.0,695.3,695.0,691.0,700.0,22.5,729.0,1505.0,668.0,330.0,980.0,54.88,csr1675a_frontal.png,csr1675a_lateral.png,csr1675a_frontal_mask.png,csr1675a_lateral_mask.png
1676,Male,658.0,266.0,214.0,550.0,839.0,625.0,336.0,434.0,138.0,940.0,,604.0,964.0,776.0,299.0,858.0,116.0,261.0,204.0,193.0,148.0,588.0,207.0,394.0,1089.0,854.0,545.0,438.0,462.0,992.0,1798.0,22.0,633.0,620.0,771.0,770.0,777.0,766.0,24.5,711.0,1776.0,905.0,461.0,1034.0,80.73,csr1676a_frontal.png,csr1676a_lateral.png,csr1676a_frontal_mask.png,csr1676a_lateral_mask.png
1677,Male,630.0,268.0,228.0,553.0,854.0,626.0,325.0,419.0,138.0,943.0,,605.0,1000.0,804.0,277.0,852.0,112.0,264.0,223.0,205.0,151.0,572.0,200.0,378.0,1047.0,859.0,554.0,433.0,484.0,981.0,1814.0,9.0,590.0,560.0,800.0,803.0,800.0,797.0,6.0,608.0,1702.0,837.0,513.0,1029.0,76.87,csr1677a_frontal.png,csr1677a_lateral.png,csr1677a_frontal_mask.png,csr1677a_lateral_mask.png
1678,Male,677.0,280.0,227.0,564.0,881.0,654.0,337.0,439.0,143.0,1053.0,,635.0,1056.0,857.0,303.0,913.0,122.0,288.0,214.0,209.0,158.0,580.0,196.0,415.0,1100.0,961.0,601.0,459.0,499.0,1028.0,1929.0,25.0,647.0,646.0,804.0,810.0,812.0,790.0,21.0,725.0,1861.0,964.0,507.0,1123.0,94.56,csr1678a_frontal.png,csr1678a_lateral.png,csr1678a_frontal_mask.png,csr1678a_lateral_mask.png
1680,Female,586.0,239.0,203.0,502.0,754.0,551.0,299.0,373.0,140.0,884.0,755.0,542.0,881.0,698.0,263.0,779.0,114.0,240.0,188.0,176.0,146.0,547.0,185.0,360.0,954.0,743.0,483.0,404.0,420.0,875.0,1605.0,12.5,544.0,556.0,681.3,682.0,684.0,678.0,18.5,684.0,1569.0,706.0,353.0,955.0,55.78,csr1680a_frontal.png,csr1680a_lateral.png,csr1680a_frontal_mask.png,csr1680a_lateral_mask.png
1681,Male,662.0,288.0,246.0,607.0,935.0,689.0,361.0,476.0,141.0,1104.0,,656.0,1149.0,880.0,277.0,883.0,124.0,281.0,227.0,209.0,161.0,605.0,210.0,391.0,1107.0,923.0,588.0,490.0,496.0,994.0,1894.0,22.5,664.0,645.0,871.6,870.0,870.0,875.0,15.0,718.0,1862.0,1109.0,496.0,966.0,102.27,csr1681a_frontal.png,csr1681a_lateral.png,csr1681a_frontal_mask.png,csr1681a_lateral_mask.png
1682,Male,671.0,291.0,232.0,603.0,936.0,704.0,371.0,453.0,140.0,1043.0,,670.0,1057.0,898.0,274.0,880.0,132.0,298.0,233.0,230.0,152.0,583.0,202.0,403.0,1081.0,973.0,610.0,467.0,493.0,995.0,1930.0,18.5,634.0,616.0,904.3,898.0,902.0,913.0,15.5,676.0,1841.0,951.0,511.0,1151.0,95.24,csr1682a_frontal.png,csr1682a_lateral.png,csr1682a_frontal_mask.png,csr1682a_lateral_mask.png
1683,Female,591.0,235.0,186.0,503.0,735.0,549.0,317.0,410.0,141.0,1090.0,892.0,557.0,1021.0,653.0,271.0,749.0,106.0,232.0,185.0,169.0,146.0,536.0,179.0,419.0,1102.0,831.0,464.0,426.0,460.0,842.0,1540.0,39.0,638.0,646.0,688.0,687.0,683.0,694.0,30.5,684.0,1626.0,958.0,382.0,918.0,75.28,csr1683a_frontal.png,csr1683a_lateral.png,csr1683a_frontal_mask.png,csr1683a_lateral_mask.png
1684,Male,589.0,257.0,215.0,582.0,889.0,674.0,367.0,448.0,142.0,1065.0,,619.0,1049.0,798.0,196.0,776.0,112.0,245.0,206.0,194.0,155.0,584.0,202.0,364.0,997.0,898.0,545.0,456.0,481.0,901.0,1755.0,25.5,550.0,530.0,847.6,842.0,847.0,854.0,9.0,611.0,1667.0,928.0,532.0,1031.0,83.9,csr1684a_frontal.png,csr1684a_lateral.png,csr1684a_frontal_mask.png,csr1684a_lateral_mask.png
1685,Female,594.0,238.0,188.0,480.0,739.0,551.0,292.0,339.0,131.0,831.0,704.0,551.0,848.0,727.0,277.0,802.0,99.0,237.0,176.0,181.0,146.0,540.0,186.0,361.0,953.0,761.0,482.0,405.0,416.0,916.0,1660.0,6.5,520.0,533.0,702.6,701.0,703.0,704.0,13.5,611.0,1554.0,700.0,398.0,976.0,53.74,csr1685a_frontal.png,csr1685a_lateral.png,csr1685a_frontal_mask.png,csr1685a_lateral_mask.png
1687,Male,641.0,281.0,257.0,607.0,894.0,637.0,350.0,452.0,148.0,1003.0,,626.0,1046.0,830.0,274.0,879.0,124.0,270.0,213.0,203.0,161.0,609.0,213.0,389.0,1065.0,867.0,553.0,474.0,510.0,1015.0,1855.0,23.0,628.0,620.0,834.6,837.0,831.0,836.0,15.5,654.0,1781.0,924.0,514.0,1053.0,91.38,csr1687a_frontal.png,csr1687a_lateral.png,csr1687a_frontal_mask.png,csr1687a_lateral_mask.png
1688,Male,581.0,267.0,232.0,580.0,898.0,666.0,348.0,429.0,138.0,978.0,,618.0,1022.0,851.0,196.0,810.0,126.0,258.0,218.0,201.0,151.0,575.0,201.0,365.0,982.0,939.0,570.0,436.0,490.0,915.0,1802.0,8.0,549.0,559.0,834.0,843.0,827.0,832.0,7.0,623.0,1600.0,862.0,447.0,1098.0,74.83,csr1688a_frontal.png,csr1688a_lateral.png,csr1688a_frontal_mask.png,csr1688a_lateral_mask.png
1689,Female,568.0,245.0,207.0,516.0,776.0,569.0,309.0,326.0,133.0,823.0,691.0,588.0,810.0,783.0,243.0,779.0,115.0,238.0,182.0,186.0,144.0,550.0,184.0,358.0,951.0,805.0,509.0,390.0,412.0,888.0,1677.0,9.0,506.0,523.0,725.0,724.0,726.0,725.0,15.5,662.0,1508.0,679.0,333.0,1046.0,54.88,csr1689a_frontal.png,csr1689a_lateral.png,csr1689a_frontal_mask.png,csr1689a_lateral_mask.png
1690,Male,627.0,240.0,217.0,540.0,832.0,615.0,323.0,408.0,134.0,906.0,,599.0,935.0,796.0,271.0,824.0,118.0,242.0,205.0,187.0,154.0,570.0,196.0,339.0,944.0,887.0,535.0,455.0,466.0,940.0,1772.0,11.5,556.0,544.0,787.6,793.0,786.0,784.0,14.5,655.0,1649.0,806.0,421.0,1040.0,67.35,csr1690a_frontal.png,csr1690a_lateral.png,csr1690a_frontal_mask.png,csr1690a_lateral_mask.png
1692,Male,616.0,261.0,205.0,546.0,867.0,662.0,341.0,447.0,130.0,1087.0,,630.0,1071.0,870.0,243.0,789.0,118.0,263.0,199.0,195.0,153.0,577.0,202.0,407.0,1129.0,960.0,568.0,458.0,473.0,918.0,1767.0,30.0,655.0,641.0,816.3,809.0,816.0,824.0,19.5,727.0,1739.0,1065.0,489.0,1079.0,93.65,csr1692a_frontal.png,csr1692a_lateral.png,csr1692a_frontal_mask.png,csr1692a_lateral_mask.png
1693,Male,570.0,246.0,202.0,505.0,787.0,585.0,303.0,389.0,128.0,894.0,,527.0,937.0,732.0,232.0,774.0,115.0,253.0,200.0,189.0,151.0,564.0,198.0,334.0,921.0,776.0,496.0,411.0,434.0,868.0,1606.0,6.5,534.0,522.0,737.6,738.0,739.0,736.0,7.0,559.0,1500.0,747.0,418.0,942.0,58.28,csr1693a_frontal.png,csr1693a_lateral.png,csr1693a_frontal_mask.png,csr1693a_lateral_mask.png
1695,Male,595.0,265.0,195.0,523.0,827.0,632.0,328.0,414.0,147.0,977.0,,601.0,969.0,792.0,243.0,780.0,124.0,270.0,215.0,212.0,158.0,592.0,206.0,370.0,1025.0,862.0,554.0,455.0,440.0,885.0,1714.0,13.0,611.0,604.0,829.6,825.0,835.0,829.0,16.5,620.0,1658.0,865.0,431.0,1019.0,75.74,csr1695a_frontal.png,csr1695a_lateral.png,csr1695a_frontal_mask.png,csr1695a_lateral_mask.png
1696,Female,579.0,235.0,201.0,516.0,772.0,571.0,315.0,334.0,128.0,804.0,684.0,558.0,803.0,774.0,242.0,788.0,105.0,237.0,182.0,183.0,142.0,543.0,184.0,328.0,839.0,825.0,490.0,376.0,384.0,900.0,1684.0,5.5,468.0,472.0,745.3,740.0,746.0,750.0,6.5,490.0,1482.0,706.0,425.0,950.0,47.17,csr1696a_frontal.png,csr1696a_lateral.png,csr1696a_frontal_mask.png,csr1696a_lateral_mask.png
1697,Male,587.0,259.0,185.0,541.0,867.0,682.0,356.0,439.0,147.0,951.0,,606.0,969.0,845.0,202.0,791.0,113.0,272.0,215.0,205.0,159.0,562.0,188.0,355.0,890.0,967.0,565.0,433.0,438.0,900.0,1766.0,10.5,529.0,528.0,842.3,841.0,843.0,843.0,10.0,663.0,1602.0,861.0,416.0,1078.0,69.61,csr1697a_frontal.png,csr1697a_lateral.png,csr1697a_frontal_mask.png,csr1697a_lateral_mask.png
1699,Male,605.0,259.0,211.0,530.0,806.0,595.0,319.0,463.0,144.0,1078.0,,593.0,1147.0,724.0,279.0,792.0,109.0,235.0,210.0,185.0,155.0,580.0,198.0,392.0,1130.0,798.0,511.0,463.0,529.0,903.0,1658.0,35.5,685.0,668.0,742.0,733.0,747.0,746.0,32.5,646.0,1702.0,992.0,531.0,949.0,90.25,csr1699a_frontal.png,csr1699a_lateral.png,csr1699a_frontal_mask.png,csr1699a_lateral_mask.png
1700,Female,552.0,244.0,198.0,512.0,799.0,601.0,314.0,369.0,136.0,927.0,718.0,599.0,896.0,819.0,207.0,779.0,121.0,248.0,183.0,184.0,148.0,567.0,188.0,374.0,1012.0,872.0,549.0,403.0,440.0,886.0,1724.0,17.0,586.0,582.0,755.0,754.0,756.0,755.0,24.0,588.0,1537.0,813.0,413.0,1027.0,64.4,csr1700a_frontal.png,csr1700a_lateral.png,csr1700a_frontal_mask.png,csr1700a_lateral_mask.png
1701,Male,683.0,284.0,231.0,600.0,922.0,691.0,369.0,482.0,156.0,1113.0,,641.0,1134.0,896.0,288.0,868.0,115.0,290.0,219.0,218.0,168.0,609.0,205.0,382.0,1071.0,923.0,605.0,490.0,513.0,975.0,1890.0,25.5,652.0,635.0,864.6,864.0,863.0,867.0,22.0,607.0,1843.0,975.0,561.0,1068.0,100.68,csr1701a_frontal.png,csr1701a_lateral.png,csr1701a_frontal_mask.png,csr1701a_lateral_mask.png
1702,Male,581.0,266.0,212.0,538.0,828.0,616.0,326.0,467.0,139.0,1041.0,,572.0,1062.0,734.0,230.0,775.0,115.0,255.0,218.0,187.0,155.0,581.0,199.0,367.0,980.0,862.0,512.0,441.0,487.0,898.0,1676.0,24.0,576.0,551.0,777.0,782.0,774.0,775.0,13.5,694.0,1622.0,895.0,421.0,1012.0,78.68,csr1702a_frontal.png,csr1702a_lateral.png,csr1702a_frontal_mask.png,csr1702a_lateral_mask.png
1703,Female,560.0,230.0,199.0,499.0,740.0,541.0,300.0,445.0,146.0,1111.0,881.0,569.0,1024.0,658.0,254.0,724.0,115.0,236.0,182.0,179.0,149.0,554.0,184.0,396.0,1130.0,849.0,460.0,416.0,478.0,823.0,1536.0,30.5,612.0,619.0,691.6,690.0,695.0,690.0,30.0,677.0,1611.0,981.0,417.0,915.0,77.78,csr1703a_frontal.png,csr1703a_lateral.png,csr1703a_frontal_mask.png,csr1703a_lateral_mask.png
1704,Male,631.0,275.0,246.0,610.0,926.0,680.0,364.0,468.0,139.0,1096.0,,641.0,1119.0,877.0,243.0,864.0,125.0,289.0,223.0,213.0,148.0,576.0,204.0,381.0,1061.0,925.0,595.0,446.0,525.0,973.0,1875.0,14.0,639.0,627.0,836.0,822.0,840.0,846.0,8.0,635.0,1755.0,895.0,511.0,1078.0,91.84,csr1704a_frontal.png,csr1704a_lateral.png,csr1704a_frontal_mask.png,csr1704a_lateral_mask.png
1705,Female,571.0,240.0,203.0,524.0,778.0,575.0,321.0,392.0,144.0,999.0,803.0,577.0,935.0,716.0,244.0,743.0,111.0,223.0,184.0,176.0,154.0,568.0,191.0,433.0,1109.0,792.0,488.0,419.0,446.0,856.0,1612.0,28.0,690.0,706.0,721.6,719.0,722.0,724.0,20.5,708.0,1612.0,856.0,400.0,985.0,78.68,csr1705a_frontal.png,csr1705a_lateral.png,csr1705a_frontal_mask.png,csr1705a_lateral_mask.png
1706,Female,577.0,233.0,177.0,501.0,745.0,568.0,324.0,382.0,139.0,900.0,742.0,574.0,846.0,742.0,243.0,762.0,111.0,230.0,182.0,181.0,154.0,562.0,187.0,406.0,1051.0,769.0,498.0,390.0,418.0,874.0,1629.0,13.5,625.0,636.0,722.6,715.0,724.0,729.0,22.5,722.0,1561.0,747.0,370.0,1003.0,68.71,csr1706a_frontal.png,csr1706a_lateral.png,csr1706a_frontal_mask.png,csr1706a_lateral_mask.png
1709,Female,569.0,235.0,194.0,511.0,798.0,604.0,317.0,394.0,129.0,1019.0,826.0,579.0,977.0,755.0,226.0,748.0,112.0,227.0,185.0,181.0,145.0,536.0,183.0,359.0,953.0,829.0,502.0,376.0,440.0,844.0,1633.0,28.0,545.0,542.0,755.6,757.0,765.0,745.0,19.0,681.0,1533.0,754.0,320.0,1028.0,63.95,csr1709a_frontal.png,csr1709a_lateral.png,csr1709a_frontal_mask.png,csr1709a_lateral_mask.png
1710,Male,606.0,255.0,208.0,545.0,840.0,632.0,337.0,456.0,149.0,1013.0,,601.0,1038.0,798.0,239.0,797.0,112.0,264.0,220.0,201.0,162.0,584.0,199.0,357.0,982.0,855.0,540.0,439.0,473.0,916.0,1764.0,12.5,562.0,570.0,822.6,812.0,832.0,824.0,12.5,571.0,1694.0,885.0,515.0,1004.0,75.74,csr1710a_frontal.png,csr1710a_lateral.png,csr1710a_frontal_mask.png,csr1710a_lateral_mask.png
1712,Male,625.0,245.0,216.0,532.0,813.0,597.0,316.0,377.0,137.0,912.0,,574.0,944.0,775.0,281.0,848.0,110.0,250.0,214.0,196.0,150.0,566.0,196.0,353.0,991.0,837.0,546.0,433.0,451.0,956.0,1767.0,14.5,564.0,552.0,766.6,765.0,768.0,767.0,11.5,697.0,1675.0,856.0,425.0,1050.0,67.8,csr1712a_frontal.png,csr1712a_lateral.png,csr1712a_frontal_mask.png,csr1712a_lateral_mask.png
1713,Female,594.0,242.0,192.0,502.0,793.0,601.0,310.0,412.0,139.0,1012.0,805.0,597.0,950.0,759.0,248.0,811.0,101.0,235.0,186.0,185.0,150.0,555.0,188.0,436.0,1131.0,842.0,503.0,415.0,460.0,912.0,1690.0,36.5,642.0,660.0,763.3,766.0,766.0,758.0,36.0,734.0,1617.0,877.0,369.0,1036.0,62.13,csr1713a_frontal.png,csr1713a_lateral.png,csr1713a_frontal_mask.png,csr1713a_lateral_mask.png
1715,Male,551.0,274.0,217.0,551.0,860.0,643.0,334.0,402.0,132.0,943.0,,594.0,979.0,809.0,197.0,787.0,116.0,258.0,202.0,195.0,146.0,553.0,194.0,378.0,1034.0,870.0,543.0,463.0,475.0,905.0,1716.0,16.5,625.0,612.0,826.3,828.0,826.0,825.0,23.5,608.0,1521.0,830.0,430.0,1031.0,74.38,csr1715a_frontal.png,csr1715a_lateral.png,csr1715a_frontal_mask.png,csr1715a_lateral_mask.png
1716,Female,526.0,241.0,183.0,489.0,759.0,576.0,306.0,354.0,145.0,877.0,784.0,560.0,837.0,722.0,198.0,692.0,117.0,238.0,176.0,172.0,158.0,556.0,189.0,375.0,952.0,853.0,492.0,375.0,400.0,797.0,1550.0,7.5,489.0,496.0,723.3,727.0,723.0,720.0,9.5,661.0,1475.0,731.0,332.0,964.0,55.56,csr1716a_frontal.png,csr1716a_lateral.png,csr1716a_frontal_mask.png,csr1716a_lateral_mask.png
1720,Male,645.0,267.0,232.0,599.0,928.0,696.0,367.0,481.0,144.0,1192.0,,648.0,1179.0,848.0,245.0,810.0,122.0,278.0,208.0,211.0,159.0,605.0,209.0,405.0,1103.0,923.0,593.0,488.0,533.0,938.0,1836.0,39.5,653.0,642.0,879.0,871.0,892.0,874.0,24.5,740.0,1841.0,1132.0,491.0,1108.0,109.07,csr1720a_frontal.png,csr1720a_lateral.png,csr1720a_frontal_mask.png,csr1720a_lateral_mask.png
1721,Female,536.0,234.0,188.0,497.0,752.0,564.0,309.0,475.0,136.0,1179.0,920.0,610.0,1135.0,735.0,220.0,717.0,119.0,238.0,186.0,175.0,147.0,557.0,190.0,479.0,1264.0,885.0,504.0,430.0,478.0,810.0,1570.0,35.0,684.0,695.0,734.6,736.0,742.0,726.0,35.5,690.0,1606.0,1047.0,451.0,985.0,89.12,csr1721a_frontal.png,csr1721a_lateral.png,csr1721a_frontal_mask.png,csr1721a_lateral_mask.png
1722,Female,514.0,235.0,197.0,476.0,712.0,515.0,279.0,346.0,129.0,911.0,763.0,536.0,894.0,706.0,209.0,696.0,114.0,237.0,181.0,175.0,148.0,565.0,193.0,354.0,936.0,871.0,466.0,384.0,402.0,801.0,1534.0,10.5,532.0,545.0,684.3,683.0,684.0,686.0,25.0,623.0,1444.0,712.0,347.0,946.0,55.1,csr1722a_frontal.png,csr1722a_lateral.png,csr1722a_frontal_mask.png,csr1722a_lateral_mask.png
1723,Female,585.0,260.0,205.0,568.0,839.0,634.0,363.0,455.0,132.0,1194.0,892.0,660.0,1108.0,809.0,214.0,792.0,115.0,246.0,211.0,191.0,143.0,553.0,187.0,459.0,1258.0,965.0,540.0,441.0,497.0,895.0,1718.0,44.5,728.0,736.0,796.0,795.0,795.0,798.0,36.0,781.0,1672.0,923.0,381.0,1108.0,99.09,csr1723a_frontal.png,csr1723a_lateral.png,csr1723a_frontal_mask.png,csr1723a_lateral_mask.png
1724,Female,616.0,245.0,176.0,504.0,806.0,630.0,328.0,375.0,143.0,926.0,776.0,600.0,927.0,805.0,262.0,805.0,118.0,251.0,187.0,192.0,154.0,564.0,187.0,408.0,1062.0,863.0,539.0,441.0,444.0,921.0,1750.0,13.0,599.0,592.0,774.6,771.0,781.0,772.0,24.0,665.0,1607.0,804.0,389.0,1065.0,68.48,csr1724a_frontal.png,csr1724a_lateral.png,csr1724a_frontal_mask.png,csr1724a_lateral_mask.png
1725,Female,536.0,235.0,168.0,466.0,710.0,542.0,298.0,368.0,128.0,845.0,701.0,552.0,826.0,710.0,216.0,717.0,109.0,222.0,179.0,168.0,153.0,551.0,190.0,354.0,968.0,768.0,481.0,389.0,395.0,824.0,1564.0,11.0,545.0,553.0,698.0,703.0,698.0,693.0,18.0,540.0,1458.0,762.0,385.0,907.0,54.65,csr1725a_frontal.png,csr1725a_lateral.png,csr1725a_frontal_mask.png,csr1725a_lateral_mask.png
1727,Female,544.0,241.0,194.0,496.0,759.0,565.0,302.0,425.0,131.0,1017.0,808.0,585.0,918.0,714.0,225.0,736.0,112.0,226.0,180.0,174.0,144.0,548.0,187.0,425.0,1090.0,757.0,485.0,386.0,423.0,845.0,1598.0,20.0,609.0,644.0,728.3,725.0,736.0,724.0,23.5,708.0,1568.0,879.0,351.0,985.0,67.8,csr1727a_frontal.png,csr1727a_lateral.png,csr1727a_frontal_mask.png,csr1727a_lateral_mask.png
1728,Female,584.0,239.0,196.0,534.0,829.0,633.0,338.0,380.0,134.0,969.0,805.0,628.0,938.0,832.0,223.0,804.0,109.0,245.0,185.0,187.0,148.0,564.0,196.0,391.0,1031.0,937.0,550.0,414.0,430.0,914.0,1774.0,22.5,600.0,617.0,789.0,785.0,788.0,794.0,26.5,699.0,1601.0,800.0,389.0,1112.0,72.56,csr1728a_frontal.png,csr1728a_lateral.png,csr1728a_frontal_mask.png,csr1728a_lateral_mask.png
1729,Female,563.0,233.0,191.0,502.0,777.0,586.0,311.0,396.0,136.0,1042.0,798.0,598.0,989.0,760.0,226.0,745.0,103.0,245.0,188.0,187.0,146.0,541.0,181.0,397.0,1054.0,926.0,510.0,378.0,437.0,859.0,1656.0,36.5,586.0,594.0,755.3,750.0,761.0,755.0,17.0,700.0,1582.0,820.0,373.0,1036.0,70.52,csr1729a_frontal.png,csr1729a_lateral.png,csr1729a_frontal_mask.png,csr1729a_lateral_mask.png
1730,Female,564.0,225.0,199.0,506.0,770.0,571.0,307.0,555.0,127.0,894.0,720.0,567.0,857.0,765.0,236.0,760.0,109.0,236.0,176.0,176.0,149.0,556.0,184.0,380.0,980.0,832.0,505.0,402.0,391.0,859.0,1648.0,30.5,535.0,545.0,747.3,747.0,749.0,746.0,27.0,679.0,1508.0,706.0,333.0,1038.0,57.14,csr1730a_frontal.png,csr1730a_lateral.png,csr1730a_frontal_mask.png,csr1730a_lateral_mask.png
1731,Female,585.0,225.0,186.0,492.0,740.0,554.0,306.0,349.0,128.0,853.0,704.0,551.0,842.0,768.0,257.0,776.0,112.0,225.0,167.0,174.0,144.0,550.0,191.0,363.0,973.0,788.0,500.0,380.0,411.0,895.0,1673.0,9.0,546.0,563.0,696.6,700.0,690.0,700.0,14.5,572.0,1531.0,735.0,407.0,986.0,54.88,csr1731a_frontal.png,csr1731a_lateral.png,csr1731a_frontal_mask.png,csr1731a_lateral_mask.png
1732,Female,575.0,234.0,208.0,540.0,809.0,601.0,332.0,335.0,136.0,835.0,698.0,581.0,836.0,802.0,220.0,797.0,109.0,246.0,175.0,189.0,151.0,550.0,189.0,375.0,989.0,841.0,522.0,374.0,411.0,895.0,1714.0,11.0,543.0,561.0,770.3,774.0,763.0,774.0,17.5,598.0,1527.0,673.0,367.0,1038.0,55.1,csr1732a_frontal.png,csr1732a_lateral.png,csr1732a_frontal_mask.png,csr1732a_lateral_mask.png
1733,Female,609.0,261.0,205.0,536.0,800.0,595.0,331.0,463.0,146.0,1217.0,1004.0,627.0,1172.0,733.0,264.0,796.0,116.0,245.0,204.0,183.0,151.0,571.0,194.0,504.0,1388.0,871.0,510.0,472.0,516.0,905.0,1669.0,46.5,765.0,795.0,769.0,776.0,772.0,759.0,45.0,900.0,1855.0,1154.0,415.0,1053.0,114.06,csr1733a_frontal.png,csr1733a_lateral.png,csr1733a_frontal_mask.png,csr1733a_lateral_mask.png
1734,Female,582.0,245.0,202.0,539.0,815.0,613.0,337.0,363.0,134.0,916.0,772.0,604.0,912.0,756.0,258.0,789.0,113.0,250.0,189.0,186.0,145.0,551.0,189.0,366.0,1025.0,840.0,545.0,390.0,452.0,911.0,1740.0,10.5,582.0,597.0,776.0,784.0,770.0,774.0,14.5,674.0,1698.0,779.0,383.0,1074.0,67.8,csr1734a_frontal.png,csr1734a_lateral.png,csr1734a_frontal_mask.png,csr1734a_lateral_mask.png
1735,Male,650.0,287.0,245.0,594.0,912.0,667.0,349.0,462.0,141.0,1078.0,,625.0,1104.0,834.0,279.0,861.0,133.0,277.0,225.0,202.0,152.0,582.0,204.0,399.0,1114.0,875.0,595.0,485.0,511.0,983.0,1859.0,12.5,679.0,667.0,825.3,830.0,830.0,816.0,13.5,642.0,1809.0,899.0,531.0,1069.0,95.46,csr1735a_frontal.png,csr1735a_lateral.png,csr1735a_frontal_mask.png,csr1735a_lateral_mask.png
1736,Female,610.0,230.0,182.0,513.0,785.0,603.0,331.0,356.0,128.0,917.0,753.0,576.0,911.0,761.0,266.0,793.0,111.0,240.0,180.0,190.0,141.0,556.0,196.0,374.0,988.0,821.0,511.0,406.0,419.0,899.0,1689.0,13.0,548.0,560.0,747.0,748.0,750.0,743.0,23.5,675.0,1574.0,712.0,376.0,1039.0,60.77,csr1736a_frontal.png,csr1736a_lateral.png,csr1736a_frontal_mask.png,csr1736a_lateral_mask.png
1737,Male,624.0,276.0,199.0,525.0,817.0,618.0,326.0,511.0,152.0,1259.0,,618.0,1252.0,743.0,289.0,781.0,129.0,275.0,212.0,203.0,161.0,582.0,198.0,441.0,1258.0,912.0,558.0,473.0,508.0,907.0,1728.0,31.0,660.0,685.0,796.0,799.0,791.0,798.0,27.5,800.0,1871.0,1245.0,576.0,1001.0,114.29,csr1737a_frontal.png,csr1737a_lateral.png,csr1737a_frontal_mask.png,csr1737a_lateral_mask.png
1738,Female,593.0,258.0,206.0,540.0,822.0,616.0,334.0,423.0,139.0,1060.0,879.0,627.0,1010.0,824.0,240.0,804.0,117.0,260.0,203.0,203.0,147.0,564.0,191.0,425.0,1105.0,845.0,547.0,428.0,472.0,915.0,1774.0,41.0,662.0,694.0,766.0,765.0,759.0,774.0,38.5,692.0,1666.0,911.0,405.0,1086.0,89.12,csr1738a_frontal.png,csr1738a_lateral.png,csr1738a_frontal_mask.png,csr1738a_lateral_mask.png
1739,Female,560.0,236.0,189.0,504.0,774.0,585.0,315.0,375.0,131.0,919.0,775.0,661.0,890.0,787.0,223.0,760.0,111.0,236.0,176.0,188.0,142.0,542.0,184.0,416.0,1073.0,842.0,533.0,408.0,425.0,862.0,1675.0,17.5,603.0,616.0,759.6,752.0,764.0,763.0,31.0,684.0,1544.0,761.0,373.0,1045.0,68.03,csr1739a_frontal.png,csr1739a_lateral.png,csr1739a_frontal_mask.png,csr1739a_lateral_mask.png
1740,Male,641.0,251.0,217.0,564.0,880.0,663.0,347.0,387.0,128.0,906.0,,616.0,944.0,863.0,263.0,882.0,123.0,269.0,208.0,206.0,149.0,567.0,202.0,351.0,979.0,924.0,569.0,437.0,465.0,1006.0,1883.0,12.5,559.0,549.0,813.6,803.0,828.0,810.0,15.5,592.0,1716.0,823.0,496.0,1073.0,68.48,csr1740a_frontal.png,csr1740a_lateral.png,csr1740a_frontal_mask.png,csr1740a_lateral_mask.png
1741,Female,569.0,239.0,198.0,504.0,787.0,589.0,306.0,380.0,129.0,1039.0,850.0,588.0,983.0,778.0,238.0,749.0,107.0,238.0,178.0,182.0,147.0,557.0,192.0,400.0,1049.0,908.0,510.0,416.0,445.0,851.0,1635.0,26.5,597.0,617.0,756.6,755.0,762.0,753.0,26.0,728.0,1602.0,854.0,368.0,1036.0,71.88,csr1741a_frontal.png,csr1741a_lateral.png,csr1741a_frontal_mask.png,csr1741a_lateral_mask.png
